TIME;LAT;LON;DIRECTION;SPEED;TOP
2022-12-28T08:31:41.052Z;52.50452788765061;13.373715765105986;135.09;0.56;valid
2022-12-28T08:31:45Z;52.50455300114407;13.373691269797106;-1.0;0.1;valid
2022-12-28T08:31:52Z;52.504573277588875;13.373677987452227;-1.0;0.0;valid
2022-12-28T08:32:04Z;52.50449310640837;13.373788462020173;-1.0;0.0;valid
2022-12-28T08:33:29Z;52.50448751749526;13.373887109224915;249.31;0.0;valid
2022-12-28T08:34:54.999Z;52.504459149159445;13.373868543959354;249.31;0.0;valid
2022-12-28T08:35:22.999Z;52.504430017559805;13.374046786162747;249.31;0.0;valid
2022-12-28T08:35:54.999Z;52.50439062787919;13.374185860424058;249.31;0.0;valid
2022-12-28T08:35:59Z;52.504333626669755;13.374194019838615;216.76;2.27;valid
2022-12-28T08:36:01Z;52.50425576270353;13.374090402291326;196.9;3.66;valid
2022-12-28T08:36:03Z;52.50425829590661;13.373950649861918;227.84;2.41;valid
2022-12-28T08:36:05Z;52.50428532422843;13.373835284520048;248.52;1.31;valid
2022-12-28T08:36:07Z;52.504308942536774;13.373724076526148;265.72;1.9;valid
2022-12-28T08:36:09Z;52.50432608944478;13.373624269252751;286.6;2.59;valid
2022-12-28T08:36:11Z;52.504397845232305;13.373488547501706;312.87;3.24;valid
2022-12-28T08:36:13Z;52.50448858057801;13.37334267588443;312.98;4.38;valid
2022-12-28T08:36:15Z;52.504569083018716;13.37323946971157;317.88;4.72;valid
2022-12-28T08:36:17Z;52.50465648672873;13.373138494568735;318.48;4.81;valid
2022-12-28T08:36:19Z;52.50470052157707;13.373000850246703;305.41;3.98;valid
2022-12-28T08:36:20Z;52.50474068206154;13.372939505354996;306.71;4.23;valid
2022-12-28T08:36:22Z;52.5048312073403;13.372848825472925;315.77;4.19;valid
2022-12-28T08:36:24Z;52.50490927020726;13.372754634152297;313.14;3.8;valid
2022-12-28T08:36:26Z;52.50494275600817;13.372651205214114;309.87;3.58;valid
2022-12-28T08:36:29Z;52.504989379518335;13.372557948280393;305.76;2.44;valid
2022-12-28T08:36:31Z;52.50501120994731;13.372481739204657;296.46;1.93;valid
2022-12-28T08:36:33Z;52.505039402406865;13.372450493068467;306.44;1.32;valid
2022-12-28T08:36:45Z;52.505053756518436;13.372406356425495;306.74;0.0;valid
2022-12-28T08:36:47Z;52.50510323780849;13.372315093932182;312.94;3.7;valid
2022-12-28T08:36:49Z;52.50515181944405;13.372229143125372;313.25;3.87;valid
2022-12-28T08:36:51Z;52.50525609714788;13.372194870859216;356.85;6.3;valid
2022-12-28T08:36:53Z;52.505415350749544;13.372215817912393;4.96;9.41;valid
2022-12-28T08:36:55Z;52.50564369243891;13.372237815075133;8.34;13.68;valid
2022-12-28T08:36:57Z;52.505932113892754;13.372318429757444;8.34;15.53;valid
2022-12-28T08:36:59Z;52.5062638807824;13.37240650634657;8.62;17.0;valid
2022-12-28T08:37:00Z;52.5064150549664;13.372448038331953;8.62;17.24;valid
2022-12-28T08:37:02Z;52.506726831147276;13.372526372628696;6.79;17.52;valid
2022-12-28T08:37:03Z;52.50688409785351;13.372561738985322;2.88;17.41;valid
2022-12-28T08:37:05Z;52.507184524139255;13.372594714750699;353.64;16.53;valid
2022-12-28T08:37:06Z;52.507329973749044;13.372577871888065;350.98;16.01;valid
2022-12-28T08:37:11.071Z;52.50802496209126;13.372274086398235;349.25;-1.0;valid
2022-12-28T08:37:13.072Z;52.50830376645753;13.372186752994168;349.06;-1.0;valid
2022-12-28T08:37:15.072Z;52.508582373729;13.372097699690448;348.78;-1.0;valid
2022-12-28T08:37:17.071Z;52.508860729158215;13.372008479739105;349.1;-1.0;valid
2022-12-28T08:37:19.072Z;52.50914046423993;13.37192995535919;352.17;-1.0;valid
2022-12-28T08:39:41.756Z;52.52884555028966;13.367837008410786;-1.0;-1.0;valid
2022-12-28T08:39:42.967Z;52.52889595009861;13.367826553113167;-1.0;-1.0;valid
2022-12-28T08:39:50Z;52.52710670003884;13.367683840532699;3.68;14.48;valid
2022-12-28T08:39:51Z;52.52723652102462;13.367697548560319;3.68;14.48;valid
2022-12-28T08:39:52Z;52.52705380477351;13.367729075263094;4.1;15.03;valid
2022-12-28T08:39:54Z;52.52723731656737;13.367735847888378;5.05;14.62;valid
2022-12-28T08:39:55.999Z;52.52748548724487;13.367789337287293;8.17;14.38;valid
2022-12-28T08:39:57.999Z;52.52770291483925;13.367823074446347;10.22;13.01;valid
2022-12-28T08:39:59.999Z;52.52793636015398;13.367937829038201;19.13;13.51;valid
2022-12-28T08:40:00.999Z;52.528045572612164;13.368008952169474;22.43;13.63;valid
2022-12-28T08:40:02.999Z;52.52825999586773;13.368200867880294;30.36;13.46;valid
2022-12-28T08:40:04.999Z;52.52843947021305;13.368453408439239;40.5;13.0;valid
2022-12-28T08:40:05.999Z;52.5285227558587;13.368583688413668;46.22;12.73;valid
2022-12-28T08:40:07.999Z;52.52862896744592;13.368853650316703;54.68;9.82;valid
2022-12-28T08:40:08.999Z;52.52866244467727;13.36895848966867;56.5;8.21;valid
2022-12-28T08:40:10.999Z;52.52871061060752;13.369118996356825;58.41;6.82;valid
2022-12-28T08:40:11.999Z;52.5287379870233;13.369186789896101;58.41;5.95;valid
2022-12-28T08:40:13.999Z;52.52877077589398;13.369282783635606;59.3;3.6;valid
2022-12-28T08:40:19.999Z;52.528768075275565;13.369328504700661;59.3;0.0;valid
2022-12-28T08:40:40.999Z;52.52873056400986;13.36935145304549;59.3;0.0;valid
2022-12-28T08:40:42.999Z;52.528751998798036;13.369414006894475;56.83;2.99;valid
2022-12-28T08:40:43.999Z;52.52876993386686;13.369476701752598;56.83;4.32;valid
2022-12-28T08:40:44.999Z;52.528805706450996;13.369528354447043;56.83;5.02;valid
2022-12-28T08:40:46.999Z;52.52887699991646;13.369613559927384;45.07;5.16;valid
2022-12-28T08:40:48.999Z;52.5290032689552;13.369550357921815;338.45;7.24;valid
2022-12-28T08:40:50.999Z;52.52916525898844;13.369427818414891;337.14;9.75;valid
2022-12-28T08:40:52.999Z;52.52936295197576;13.369301931204001;337.14;11.23;valid
2022-12-28T08:40:54.999Z;52.529568423073975;13.36917913912992;337.42;11.02;valid
2022-12-28T08:40:56.999Z;52.52975444435277;13.369063361510108;337.98;10.59;valid
2022-12-28T08:40:58.999Z;52.52992827412166;13.368943578201396;333.38;10.14;valid
2022-12-28T08:41:00.999Z;52.53008940981135;13.368811614880768;328.92;9.79;valid
2022-12-28T08:41:02.999Z;52.53026459162806;13.368679507585219;328.92;9.94;valid
2022-12-28T08:41:03.999Z;52.530363534529194;13.368598964460181;328.94;10.23;valid
2022-12-28T08:41:05.999Z;52.53050148734441;13.368405653269896;328.94;9.8;valid
2022-12-28T08:41:06.999Z;52.53057885797359;13.368321814527551;328.94;9.79;valid
2022-12-28T08:41:08.999Z;52.53073150423257;13.368162825492293;328.5;9.71;valid
2022-12-28T08:41:09.999Z;52.53080553597696;13.368084453504228;329.27;9.6;valid
2022-12-28T08:41:11.999Z;52.530957967609645;13.367934337871086;329.0;9.46;valid
2022-12-28T08:41:12.999Z;52.531035219258676;13.36786196459192;329.0;9.47;valid
2022-12-28T08:41:14.999Z;52.5311830391413;13.367717362106083;328.66;9.23;valid
2022-12-28T08:41:16.999Z;52.5313259452701;13.367571143342731;328.66;9.11;valid
2022-12-28T08:41:18.999Z;52.531471581496476;13.367428941196868;330.89;9.08;valid
2022-12-28T08:41:19.999Z;52.53154244413514;13.367369439073299;330.89;9.04;valid
2022-12-28T08:41:21.999Z;52.531686789272435;13.367238373959648;329.79;9.12;valid
2022-12-28T08:41:23Z;52.531757641926546;13.367169982761924;328.74;9.03;valid
2022-12-28T08:41:24Z;52.53182551070961;13.367100333167564;328.74;8.97;valid
2022-12-28T08:41:26Z;52.53196120682936;13.366964432591995;328.74;8.74;valid
2022-12-28T08:41:27Z;52.53203120998005;13.366895316531563;327.43;8.86;valid
2022-12-28T08:41:29Z;52.53217072202159;13.366751016859494;326.88;9.29;valid
2022-12-28T08:41:30Z;52.532237450721155;13.366676255374347;328.05;9.24;valid
2022-12-28T08:41:32Z;52.53239775458714;13.36653936300181;328.77;9.95;valid
2022-12-28T08:41:33Z;52.53247683542417;13.366456679553332;329.4;10.27;valid
2022-12-28T08:41:35Z;52.532646441827566;13.366278913714746;329.94;11.03;valid
2022-12-28T08:41:36Z;52.532735137218296;13.366186224237488;328.49;11.35;valid
2022-12-28T08:41:37Z;52.53282309228713;13.366085236291552;328.49;11.53;valid
2022-12-28T08:41:39Z;52.53300081281487;13.36589750441297;329.58;11.77;valid
2022-12-28T08:41:40Z;52.533097029124875;13.365799974677703;329.58;12.54;valid
2022-12-28T08:41:42Z;52.533305506365416;13.365591811362766;327.12;13.97;valid
2022-12-28T08:41:44Z;52.53353538022936;13.365368000069546;328.97;14.88;valid
2022-12-28T08:41:45Z;52.533648726409;13.365256713289291;329.47;14.78;valid
2022-12-28T08:41:47Z;52.5338663871097;13.365028787772783;329.87;14.25;valid
2022-12-28T08:41:48Z;52.53397150857263;13.364916256842106;330.14;13.98;valid
2022-12-28T08:41:50Z;52.53418177465326;13.364722223860396;330.05;12.78;valid
2022-12-28T08:41:52Z;52.534334120471435;13.364571362212285;330.05;8.92;valid
2022-12-28T08:41:53Z;52.53438400439143;13.364517980772579;329.81;6.91;valid
2022-12-28T08:41:56Z;52.53443886612774;13.364425523737086;329.81;2.17;valid
2022-12-28T08:41:59Z;52.53440968507172;13.364389405043568;164.67;3.43;valid
2022-12-28T08:42:01Z;52.53426577107241;13.364553317905456;147.49;6.6;valid
2022-12-28T08:42:01.999Z;52.534195692678786;13.36461925025669;146.96;8.37;valid
2022-12-28T08:42:02.999Z;52.534110525963726;13.36469541283223;148.33;9.79;valid
2022-12-28T08:42:04.999Z;52.53391705055074;13.364870349386203;148.81;12.07;valid
2022-12-28T08:42:05.999Z;52.5338209639878;13.364961278847126;148.81;11.96;valid
2022-12-28T08:42:07.999Z;52.533642262697555;13.365139239231546;148.97;11.39;valid
2022-12-28T08:42:09.999Z;52.533454814798056;13.365288061792953;148.97;11.03;valid
2022-12-28T08:42:11.999Z;52.5332858602053;13.365461559861673;148.97;10.57;valid
2022-12-28T08:42:13.999Z;52.53312242661977;13.365657004899978;148.97;10.2;valid
2022-12-28T08:42:15.999Z;52.53296311617847;13.365810535465844;148.97;9.81;valid
2022-12-28T08:42:16.999Z;52.53289589912853;13.365877478204007;149.14;9.44;valid
2022-12-28T08:42:18.999Z;52.532768850379675;13.365994042532884;149.32;8.13;valid
2022-12-28T08:42:20.999Z;52.53266180425058;13.366087566960754;149.32;6.63;valid
2022-12-28T08:42:21.999Z;52.53262396200407;13.36611468734512;149.32;5.58;valid
2022-12-28T08:42:24Z;52.53256351329798;13.366180995443367;150.36;3.67;valid
2022-12-28T08:42:26Z;52.53253965902316;13.366202371028145;150.36;0.0;valid
2022-12-28T08:42:29Z;52.532509375523695;13.366232467028583;150.36;0.0;valid
2022-12-28T08:42:31Z;52.53246567312066;13.366273468630771;149.54;2.58;valid
2022-12-28T08:42:33Z;52.53238546681742;13.366367748269422;149.54;5.34;valid
2022-12-28T08:42:35Z;52.53227112989921;13.366468152109924;149.54;5.99;valid
2022-12-28T08:42:36Z;52.53221103341116;13.366514225934866;148.63;6.49;valid
2022-12-28T08:42:38Z;52.532083453858526;13.36665650137837;147.46;7.54;valid
2022-12-28T08:42:39Z;52.532019296327675;13.36671862208417;149.58;7.58;valid
2022-12-28T08:42:41Z;52.53189958949292;13.366840156443736;148.99;7.65;valid
2022-12-28T08:42:43Z;52.531770807406026;13.366969145332867;148.99;8.15;valid
2022-12-28T08:42:45Z;52.53163909271417;13.367093757429702;148.99;8.16;valid
2022-12-28T08:42:46Z;52.531572971189746;13.367157267529887;148.99;8.25;valid
2022-12-28T08:42:48Z;52.53144635728185;13.367282032121105;148.99;8.13;valid
2022-12-28T08:42:50Z;52.5313157983236;13.367414660072452;149.25;8.04;valid
2022-12-28T08:42:51Z;52.531249430968124;13.36747026487507;149.13;8.02;valid
2022-12-28T08:42:53Z;52.53113695122496;13.367577419195012;149.13;7.29;valid
2022-12-28T08:42:55Z;52.531025539996925;13.367687050189613;148.97;7.28;valid
2022-12-28T08:42:57Z;52.53091130502199;13.367798869454068;148.97;8.19;valid
2022-12-28T08:42:59Z;52.53078832216331;13.36792171369789;148.97;8.6;valid
2022-12-28T08:43:00Z;52.53072549159504;13.367984409681698;149.2;8.5;valid
2022-12-28T08:43:02Z;52.530602142663476;13.368108162473401;149.02;8.24;valid
2022-12-28T08:43:04Z;52.53048763365822;13.368217773240248;149.02;7.7;valid
2022-12-28T08:43:06Z;52.53037057142387;13.368329742279354;148.85;7.59;valid
