TIME,TollNow Point,Referenz Point,Abstand beider Punkte
2022-12-28T08:36:20,"(52.50474068206154, 13.372939505354996)","(52.5046806971667, 13.3729821838333)",7.26866846543347
2022-12-28T08:36:22,"(52.5048312073403, 13.372848825472923)","(52.5047459831667, 13.3728596645)",9.50486343845106
2022-12-28T08:36:24,"(52.50490927020726, 13.372754634152296)","(52.5047918446667, 13.3727790693333)",13.16146803338318
2022-12-28T08:36:26,"(52.50494275600817, 13.372651205214114)","(52.5048266731667, 13.3727197601667)",13.716503972492909
2022-12-28T08:36:29,"(52.504989379518335, 13.372557948280392)","(52.5048729045, 13.3726356766667)",13.979183015460453
2022-12-28T08:36:31,"(52.50501120994731, 13.372481739204655)","(52.5049008828333, 13.3725845131667)",14.102739592956501
2022-12-28T08:36:33,"(52.50503940240687, 13.372450493068468)","(52.5049199081667, 13.3725487966667)",14.85996482130746
2022-12-28T08:36:45,"(52.50505375651844, 13.372406356425495)","(52.5049454201667, 13.3724972561667)",13.526628980153527
2022-12-28T08:36:47,"(52.50510323780849, 13.372315093932182)","(52.5049953548333, 13.3724368956667)",14.555698806436466
2022-12-28T08:36:49,"(52.50515181944405, 13.372229143125372)","(52.5050453523333, 13.3723479536667)",14.311488090889243
2022-12-28T08:36:51,"(52.50525609714788, 13.372194870859216)","(52.5051493083333, 13.3723040573333)",13.986232224331202
2022-12-28T08:36:53,"(52.50541535074954, 13.372215817912393)","(52.5053087713333, 13.3723159413333)",13.651805391750301
2022-12-28T08:36:55,"(52.50564369243891, 13.372237815075133)","(52.5055432583333, 13.3723410698333)",13.174187061685796
2022-12-28T08:36:57,"(52.505932113892754, 13.372318429757444)","(52.5058268396667, 13.3723966498333)",12.847469032001882
2022-12-28T08:36:59,"(52.5062638807824, 13.37240650634657)","(52.5061304925, 13.372477087)",15.582417527659011
2022-12-28T08:37:00,"(52.5064150549664, 13.372448038331951)","(52.5062831509802, 13.3724193016911)",14.795467444464554
2022-12-28T08:37:02,"(52.50672683114728, 13.372526372628696)","(52.5065979583921, 13.3724911991166)",14.52640786560354
2022-12-28T08:37:03,"(52.50688409785351, 13.372561738985322)","(52.5067528265111, 13.3725301479848)",14.752489238778407
2022-12-28T08:37:05,"(52.507184524139255, 13.3725947147507)","(52.5070597119979, 13.3725469969167)",14.24930513009189
2022-12-28T08:37:06,"(52.50732997374904, 13.372577871888064)","(52.5072066630787, 13.3725324252148)",14.052298209226565
2022-12-28T08:37:11,"(52.50802496209126, 13.372274086398235)","(52.5078909139575, 13.372334921827)",15.463690868160073
2022-12-28T08:37:13,"(52.50830376645753, 13.372186752994168)","(52.5081661166128, 13.3722512379681)",15.916026292441241
2022-12-28T08:37:15,"(52.508582373729, 13.372097699690448)","(52.508443737808, 13.3721672658988)",16.118562404229483
2022-12-28T08:37:17,"(52.508860729158215, 13.372008479739105)","(52.5087223379828, 13.3720825735581)",16.18482733322107
2022-12-28T08:37:19,"(52.50914046423993, 13.37192995535919)","(52.5090046794977, 13.3719947762311)",15.722992380048082
2022-12-28T08:39:41,"(52.52884555028966, 13.367837008410786)","(52.5253781046016, 13.3680345728921)",385.7944764509483
2022-12-28T08:39:42,"(52.52889595009861, 13.367826553113169)","(52.5255005802484, 13.3679586227368)",377.6541217583393
2022-12-28T08:39:50,"(52.52710670003884, 13.3676838405327)","(52.5266122182297, 13.3677039748101)",55.00081284875399
2022-12-28T08:39:51,"(52.52723652102462, 13.36769754856032)","(52.526771948402, 13.3677175914347)",51.67598134642489
2022-12-28T08:39:52,"(52.52705380477351, 13.367729075263094)","(52.5269333259053, 13.3677268016472)",13.397540344982923
2022-12-28T08:39:54,"(52.52723731656737, 13.367735847888378)","(52.5272577466196, 13.3677504344194)",2.4767782298209142
2022-12-28T08:39:55,"(52.52748548724487, 13.367789337287292)","(52.527409938472, 13.3677834742327)",8.41000992301809
2022-12-28T08:39:57,"(52.52770291483925, 13.367823074446347)","(52.5276979485494, 13.3678553503783)",2.2521738759943903
2022-12-28T08:39:59,"(52.52793636015398, 13.3679378290382)","(52.5279535828049, 13.367976451587)",3.2394379444215864
2022-12-28T08:40:00,"(52.52804557261216, 13.368008952169474)","(52.528059933063, 13.368072315621)",4.57418465826909
2022-12-28T08:40:02,"(52.52825999586773, 13.368200867880294)","(52.5282569343437, 13.368280065003)",5.368312635727509
2022-12-28T08:40:04,"(52.52843947021305, 13.36845340843924)","(52.5284395658965, 13.3684983911454)",3.042985312438859
2022-12-28T08:40:05,"(52.5285227558587, 13.368583688413668)","(52.5285031499867, 13.3686217751895)",3.375045443457687
2022-12-28T08:40:07,"(52.52862896744592, 13.368853650316703)","(52.528604842361, 13.368848365174)",2.706310657472549
2022-12-28T08:40:08,"(52.52866244467727, 13.36895848966867)","(52.528642636165, 13.3689361742123)",2.670263996903548
2022-12-28T08:40:10,"(52.52871061060752, 13.369118996356825)","(52.5286970756404, 13.3690810548159)",2.975348971368836
2022-12-28T08:40:11,"(52.5287379870233, 13.3691867898961)","(52.5287222944819, 13.3691481701025)",3.141659464383053
2022-12-28T08:40:13,"(52.52877077589398, 13.369282783635606)","(52.5287594431946, 13.3692470345365)",2.726943053146802
2022-12-28T08:40:19,"(52.528768075275565, 13.36932850470066)","(52.52877786654, 13.3692960648656)",2.4496927882818187
2022-12-28T08:40:40,"(52.52873056400986, 13.36935145304549)","(52.528779565414, 13.369300586105)",6.444295669285448
2022-12-28T08:40:42,"(52.52875199879804, 13.369414006894475)","(52.528791986071, 13.3693336413884)",7.023226590944567
